Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
3357552652,"Apr 26, 2020, 3:20:32 PM",Lunch Ride,Ride,,4735,21.37,,,false,,,activities/3357552652.fit,0.0,,4735.0,3944.0,21375.0,11.2,5.42,64.9,830.0,2.0,23.5,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3366490362,"Apr 28, 2020, 3:41:08 PM",Neighborhood,Run,"Killing time, shitty headphones",708,1.61,,,false,,,activities/3366490362.gpx,0.0,,708.0,458.0,1613.2,5.4,3.522,,0.0,16.0,16.4,1.9,0.0,,,,,,,,,,,,,,,,,,7.0,,,,,0.0,14.0,0.0,,1.0,1613.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3377049691,"Apr 30, 2020, 9:02:45 PM",Need 4 speed,Run,"Windy, after squats. Stopped 4 times ",1066,1.61,,,false,,,activities/3377049691.gpx,0.0,,1066.0,438.0,1618.2,5.5,3.695,2.9,2.9,16.0,19.0,27.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,1625.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3381788346,"May 1, 2020, 7:36:16 PM",S and p,Ride,So windy ,3381,16.45,,,false,,,activities/3381788346.gpx,0.0,,3381.0,3194.0,16449.8,9.1,5.15,45.1,45.1,10.1,26.0,6.7,0.0,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,84.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3394020715,"May 3, 2020, 9:32:24 PM",2 fast,Run,Lol,1648,3.23,,,false,,,activities/3394020715.gpx,0.0,,1648.0,914.0,3229.7,5.3,3.534,6.7,6.6,14.7,18.8,3.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3234.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3451983885,"May 14, 2020, 8:25:48 PM",New skates,Inline Skate,F them kids in the park,1172,5.69,,,false,,,activities/3451983885.gpx,0.0,,1172.0,1172.0,5692.5,14.2,4.857,4.1,3.0,14.2,18.3,2.9,0.0,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,30.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3512086452,"May 19, 2020, 8:41:04 PM",Afternoon Activity,Inline Skate,,1733,7.38,,,false,,,activities/3512086452.gpx,,,1733.0,1632.0,7381.2,12.2,4.523,13.3,13.3,14.5,19.4,3.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3512116294,"May 25, 2020, 11:59:05 PM",Millennium ,Inline Skate,,752,2.99,,,false,,,activities/3512116294.gpx,,,752.0,752.0,2994.5,7.3,3.982,2.3,2.8,4.4,6.9,1.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
6107432473,"Oct 13, 2021, 3:10:19 PM",Philippe park is all uphill,Run,Cramp lol,530,1.03,,,false,,,activities/6107432473.gpx,,,530.0,374.0,1031.3,4.4,2.757,8.2,5.4,0.1,10.7,20.5,0.3,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,4.0,0.0,,1.0,1079.9,1634137216.0,1.0,27.4,30.9,24.2,0.83,1016.1,3.1,4.1,68.0,0.0,1634124672.0,1634166272.0,0.28,,,0.0,,0.25,16093.0,4.0,274.0,,,,0.0,1.946,0.0,,,,,,,,,,,,,,,,,""
9603221895,"Aug 7, 2023, 11:04:26 PM",Evening Run,Run,,3169,7.66,,,false,,,activities/10297133872.fit.gz,,,3169.0,2897.0,7667.5,5.582,2.647,20.6,20.4,5.2,10.6,13.5,0.0,,,,,,,,,338.0,,,,,,,,,,,,,,,,0.0,,1.0,7707.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.42,0.0,,,,,,,,,,,,,,,,,""
